1.95	سنگ	سنگ	sang
1.95	آهن	آهن	âhan
1.95	زدی	fail	noxlit
1.96	از	از	az
1.96	او	او	û
1.96	روشنائی	fail	noxlit
1.96	پدید	پدید	padîd
1.96	آمدی	fail	noxlit
1.97	جهاندار	جهاندار	noxlit
1.97	پیش	پیش	pîš
1.97	جهان	جهان	ǧihân
1.97	آفرین	آفرین	âfarîn
1.98	نیایش	نیایش	niyâyiš
1.98	همی	همی	hamî
1.98	کرد	کرد	kard
1.98	و	و	û
1.98	خواند	خواند	ḫvând
1.98	آفرین	آفرین	âfarîn
1.99	که	که	kih
1.99	او	او	û
1.99	را	را	râ
1.99	فروغی	fail	noxlit
1.99	چنین	چنین	čun-în
1.99	هدیه	هدیه	hadyah
1.99	داد	داد	dâd
1.100	همین	همین	hamîn
1.100	آتش	آتش	âtaš
1.100	آنگاه	fail	noxlit
1.100	قبله	fail	noxlit
1.100	نهاد	نهاد	nihâd
1.101	بگفتا	fail	noxlit
1.101	فروغی-ست	fail	noxlit
1.101	این	این	în
1.101	ایزدی	ایزدی	îzadî
1.102	پرستید	پرستید	parastîd
1.102	باید	fail	noxlit
1.102	اگر	اگر	agar
1.102	بخردی-	fail	noxlit
1.103	شب	شب	šab
1.103	آمد	آمد	âmad
1.103	بر	بر	bar:bur
1.103	افروخت	افروخت	afrûḫt
1.103	آتش	آتش	âtaš
1.103	چو	چو	čû
1.103	کوه	کوه	kûh
1.104	همان	همان	ham-ân
1.104	شاه	شاه	šâh
1.104	در	در	dar
1.104	گرد	گرد	gard:gird:gurd
1.104	او	او	û
1.104	با	با	bâ
1.104	گروه-	گروه	noxlit
1.105	یکی	fail	noxlit
1.105	جشن	جشن	ǧašn
1.105	کرد	کرد	kard
1.105	آن	آن	ân
1.105	شب	شب	šab
1.105	و	و	û
1.105	باده	باده	bâdah
1.105	خورد	خورد	ḫvard:ḫûrd
1.106	سده	سده	sadah
1.106	نام	نام	nâm
1.106	آن	آن	ân
1.106	جشن	جشن	ǧašn
1.106	فرخنده	فرخنده	farḫundah
1.106	کرد	کرد	kard
1.107	ز	ز	zi
1.107	هوشنگ	هوشنگ	hûšang
1.107	ماند	ماند	mând
